issue,fix-commit,tests
COMPRESS-1,692e7ee9948375f1f4a52b599e40c22960b7488e,[]
COMPRESS-16,c4704beb32d23eaeeff9147055aadc6fbc38c5a4,[]
COMPRESS-16,8cece7223349341d5ab44234d1f62897cb849511,[]
COMPRESS-16,6846564d8345aba5d64ce943656a60ccf3635978,[]
COMPRESS-11,d09177b98f4e956c1d366110f73c3341ea110bee,[]
COMPRESS-28,004124ac5dbf5edbf925078652526267468821e7,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStreamTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/CpioTestCase.java']"
COMPRESS-55,84f836ebd1cf6cde9d42ba33397298f14693462c,[]
COMPRESS-55,9fbe205eff8aa6f9a7a6e302094b3715e61da777,[]
COMPRESS-60,40e010931f91f4f2989fc5f892f990a8890808e1,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/changes/ChangeSetTestCase.java']
COMPRESS-63,4c9360efa899ec94c7df4bb622e5a99b68f18967,[]
COMPRESS-63,c69371b0d871acc69dba91e557ebccdfd6a28e29,[]
COMPRESS-63,1c3003b74e86d716d9be3cb7363d9ba25889f10d,[]
COMPRESS-63,865686ae662ea480b62cf42ddee81feaab741423,[]
COMPRESS-64,6273f3a6b804aa845747c8859d659373b14199e1,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/jar/JarArchiveOutputStreamTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/CpioTestCase.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/AbstractTestCase.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/zip/UTF8ZipFilesTest.java']"
COMPRESS-64,d170f34fa65e19b604f5a9e04e6ed5f81d35658c,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/ArchiveOutputStreamTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/IOMethodsTest.java']"
COMPRESS-64,6dfdfb5ddb465252644c6f80e6b13abfd211ef29,[]
COMPRESS-69,c04eecc5c1525f720d887c245c9405c6b00c1ce8,[]
COMPRESS-69,7314c603341b0f237b3d6dae833902c6bc74a9c7,[]
COMPRESS-69,cf64557bb2e1db1c46158a28a0010f279708e3d6,[]
COMPRESS-69,3126e37959ab98759c5c6e6dca52e6afe857325b,[]
COMPRESS-70,f84dd362bbf15c19cb5f3a3b4563951ba529f585,[]
COMPRESS-71,3bb9282d8876aff48148c25ec63536d352f775bf,[]
COMPRESS-73,91695e47a11e0ca7eb09555ea5c06f711d117036,[]
COMPRESS-73,bebc6eddeddb8bd40c1299fa6e468b56edd997fc,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtilsTest.java']
COMPRESS-73,124f97c18eb3fc29fd4e03c982905cadac1feb0b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtilsTest.java']
COMPRESS-74,a1015f312480c697c8dbc2772e4076eb15e41406,[]
COMPRESS-75,25b5956702a2d63da57ab2be32c47fff22391ddd,[]
COMPRESS-81,2318ba308b4d36c493330c9286a86878bc24af55,[]
COMPRESS-85,b11dca2f006da939879c9729a8af09f8519df007,[]
COMPRESS-85,14684241489dbe1b607aafd3423ebaf34be377b1,[]
COMPRESS-86,7bb5d8862665e0cc60cee52d2b48ebbd7fca61fd,[]
COMPRESS-87,dc3fc4703211876fb38cccf55adc92ee5cbc28d0,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/zip/Maven221MultiVolumeTest.java']
COMPRESS-90,5b3d609df16bddf6b0ce85532214ca32b5676bfa,[]
COMPRESS-94,7be979633a4ab427d820c591a1cb940c2721ba1a,[]
COMPRESS-94,5066e9aeb98f386b29a31cd4acb97aa43844cd30,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntryTest.java']
COMPRESS-100,62cb9c480ecd71491e6b2452ff8add4d35706290,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/zip/EncryptedArchiveTest.java']
COMPRESS-101,d7ea9ff05a28a73508b57f369a0b06b3fab46479,[]
COMPRESS-105,9b4b47796e8e2308ae8dcd9a1b030a3280092093,[]
COMPRESS-107,1e4034bf41b21852d674e1cc0b845df1feda793f,[]
COMPRESS-109,45fa6e0ea7fd8618a71e6ef981cdf9d9ac637143,[]
COMPRESS-110,33cd35e5d60f03e191ce74f85523b099a3c1944c,[]
COMPRESS-113,35e4e4fb6848ddfa3878270523f3f9336ae7f9b8,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/tar/TarUtilsTest.java']
COMPRESS-114,2d858d5c7cc30313c9c3c8ef4a5e8d34d67a395e,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/tar/TarUtilsTest.java']
COMPRESS-117,60d6b6ac126ce3b4b1c83e537f26f564900e2eda,[]
COMPRESS-119,1eb9dbb7fd336b1e8a160977722b570354040798,[]
COMPRESS-125,9f68b5d384e2de0fea87a9d613e950e32a24dd78,[]
COMPRESS-127,8376ecf5e6ff140f3836c51a910b89504e1c3300,[]
COMPRESS-129,a9bd2e2984b4c6c0cbd094d11d3a9d07640d5667,[]
COMPRESS-129,3f1a7c496cb915dd2f4205fe236f5b6a633dd4b8,[]
COMPRESS-129,797d74fd75ef76e37698dcb3ef93423d1e4cccbd,[]
COMPRESS-130,7a76c479371ef20f604eb1f1f2fca9f1b2b8f74a,[]
COMPRESS-139,b4d7505f8eb531a70d0a56e2b76b36bc302b212b,[]
COMPRESS-146,20fd83a914183fdfa63aa21ff4a025802c0a3cc1,[]
COMPRESS-152,d48f106f8758056606e5d50d20f3893978d693a1,[]
COMPRESS-154,30c859c12eb01639d64dfc813187c81b7cba4f05,[]
COMPRESS-159,ec0f5850f8342c0b1eecb20eca7286a9a4a362e1,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/changes/ChangeSetTestCase.java']
COMPRESS-160,fdac1475918e93444b08a024d096b4ec39d6733d,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStreamTest.java']
