issue,fix-commit,tests
MATH-85,075008dcd42adcc6924d048a376e611f9219e52b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/stat/regression/SimpleRegressionTest.java']
MATH-60,9ebfb870a2edb2fbf2741928efc53c2deb352e90,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/fraction/FractionFormatTest.java']
MATH-151,7ec35cf7f5d760cb6b31928c2622d528af11e406,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/util/MathUtilsTest.java']
MATH-153,409d56d206891f76a3e751e4dcdcd22a8c898acc,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/random/RandomDataTest.java']
MATH-163,739ed17f8cbdb9f0d3ad962c8bd13a89cb88cf67,[]
MATH-166,35414bc4f4ef03ef12e99c027398e5dc84682a9e,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/special/GammaTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/special/BetaTest.java']"
MATH-167,b8b6c66e1caceb44ce7250c999e63a12659a45e4,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/distribution/NormalDistributionTest.java']
MATH-175,a3dc59a94da24e46c252453f08c4b4b4a91c3ce7,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/stat/inference/ChiSquareTestTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/stat/inference/TestUtilsTest.java']"
MATH-182,9fec47b79bbb40a78eb79e5a66716697c91ae0be,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/fraction/FractionTest.java']
MATH-183,7258df6db3ca8c5dfe318253a951a0d532132c26,[]
MATH-183,fc4b86252e4b4d06ea2b0f77a8e17816f9e5d753,[]
MATH-183,654a4018c456d3aeb7f6d9e6e7aa4b97b45f3fb0,[]
MATH-183,4bfee0420d54e2ca4ad5a07f1b209948ac91f68b,[]
MATH-183,812b7db1748037bce86a5f87620eb16e38703be1,[]
MATH-184,8eba63863c102b144fe43d008baf719997599fc9,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/distribution/IntegerDistributionAbstractTest.java']
MATH-185,0152e67e9eb57de2da0df28f396c9e36cd6e12c4,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/random/ValueServerTest.java']
MATH-187,3c9e28e533d86486779419c2124d97fb643d1078,[]
MATH-191,f18c6b1affed026d32bd380526526e4b411f265b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/stat/descriptive/SummaryStatisticsTest.java']
MATH-197,24f51faee2e231cb65feef7b11749fd62ec4b1a2,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/random/RandomDataTest.java']
MATH-198,cd5f65c4c7bd17d81ecb3924f444f2078a3ff580,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/complex/ComplexFormatAbstractTest.java']
MATH-199,faead6c3fbe343ba97e70f8eda74a488c916b29a,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/estimation/LevenbergMarquardtEstimatorTest.java']
MATH-200,2c443ab8b0efce5485f63eed62213091a188c993,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/estimation/GaussNewtonEstimatorTest.java']
MATH-201,de2965f24ca34e9ea3d5780d56a82ee973f817b4,[]
MATH-204,f11d7217fd977897eb3ef6c443770795f947599c,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/analysis/BrentSolverTest.java']
MATH-204,9232ea98fc333c8ede952406d3f70da8ae89682a,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/analysis/BrentSolverTest.java']
MATH-205,f11d7217fd977897eb3ef6c443770795f947599c,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/analysis/BrentSolverTest.java']
MATH-205,033ac8e016b96b11b45962d9b8bbd8e22125b226,[]
MATH-207,072539b502a69ef7098c714cf3dcadacd1ac7ccf,[]
MATH-207,e082a039f895458c231226e66f39e39cbf3b5ef2,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/FitnessCachingTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/ElitisticListPopulationTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/ListPopulationTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/GeneticAlgorithmTestBinary.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/BinaryMutationTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/RandomKeyTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/TournamentSelectionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/BinaryChromosomeTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/GeneticAlgorithmTestPermutations.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/FixedGenerationCountTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/ChromosomeTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/OnePointCrossoverTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/genetics/RandomKeyMutationTest.java']"
MATH-207,44e04f2a0ac9f489477138331e5e0dd66f00f8a8,[]
MATH-207,6460cd272a4c0605c1e9167f641930bba16715ba,[]
MATH-209,6f4e48d42aa880e7ba49ff651aa701313e1aec31,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/linear/BigMatrixImplTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/linear/RealMatrixImplTest.java']"
MATH-210,60042cfcd27e86d8a81e6b76204a0ae22647ad8a,[]
MATH-214,22e5ce38849aa60f5b5201d6c1128b28b3b19221,[]
MATH-214,b0b7c6ef38a23246938bef934e4c1592adf19540,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/ode/nonstiff/GillIntegratorTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/ode/nonstiff/MidpointIntegratorTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/ode/nonstiff/ThreeEighthesIntegratorTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/ode/nonstiff/ClassicalRungeKuttaIntegratorTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/ode/nonstiff/EulerIntegratorTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/ode/nonstiff/StepInterpolatorAbstractTest.java']"
MATH-221,c1f2e60e81b5d7ff81d3753de1eea8b969859075,[]
MATH-221,94cf29c4e3b6a7f37ad9d85ba572409691ed7f23,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/complex/ComplexTest.java']
MATH-226,e1e21f2f6895333304f6efe8272549d32ede20be,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/random/CorrelatedRandomVectorGeneratorTest.java']
MATH-227,dbd8ffb54f72f45acc644f1f16709dd549d0cfc9,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/distribution/FDistributionTest.java']
MATH-227,57e0c33a52a0f1e641161e6bf1278e63ee6384cc,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/distribution/FDistributionTest.java']
MATH-238,dabf3a5beb9ab697d570154b9961078a8586c787,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/util/MathUtilsTest.java']
MATH-240,e4886c0a39944ba9fb7a2175cb2d1026747910e1,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/util/MathUtilsTest.java']
MATH-241,944446a1a8a3004ddd81298e0e922e4d47b99997,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/util/MathUtilsTest.java']
MATH-243,8bf548c5e83e067503d10f304d9f855ced1a449c,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/util/MathUtilsTest.java']
