issue,fix-commit,tests
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/TestParsers.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/utils/MimeTypesUtilsTest.java']"
TIKA-19,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/TestParsers.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/utils/MimeTypesUtilsTest.java']"
TIKA-21,033a07cf008dfaf63c2d4bb76bebf184f8b7a338,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/TestParsers.java']
TIKA-32,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,[]
TIKA-44,d4bb41f7968cb40d39f66b2c0430dde3eef2e618,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/TestParsers.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/RereadableInputStreamTest.java']"
TIKA-49,54aa413c1fc4b02b1bcd90228e10bb2e91b30876,[]
TIKA-51,838fe5fc64d02bbab15e71131aca84a233558755,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/RereadableInputStreamTest.java']
TIKA-56,b12c01d9b56053554cec501aab0530f7f4352daf,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/mime/TestMimeTypes.java']
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/mime/MimeTypeTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/mime/MimeTypesTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/mime/PatternsTest.java']"
TIKA-109,d795c5fe92f6a2de1811515ec7851485a2840c74,[]
TIKA-114,048252939fddb381856c41f94ef1ce3f84057b3d,[]
TIKA-121,acf76a64d81eb9c901d92fe718c0f0ffb4d14ced,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/mime/MediaTypeTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/detect/TypeDetectorTest.java']"
TIKA-130,68628ea2173da55de9d767d17fd61558d4b140f7,[]
TIKA-140,836c4b953552c4dd4359d45197b0f241824ba32c,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-156,c22581fb98ef95a52d360b9ac84fde547e9883c2,[]
TIKA-163,c6d2f094af965cd6dfab8a668946c60aaf616ea2,[]
TIKA-179,e43a19e433b6085b91bf44f534dbf055db313026,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/sax/BodyContentHandlerTest.java']
TIKA-180,aefe614e7c4846b173e102e1e99af03dc9d35e01,[]
TIKA-180,235e80743cc75d3812c1fa59deb35df4a4c2af6e,[]
TIKA-180,717833ad539511dc9c48eb488ce88c4337b05651,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/sax/SafeContentHandlerTest.java']
TIKA-185,e77e233f0e74edc6271a5dad2c8b1a7fe22925e2,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/sax/OfflineContentHandlerTest.java']
TIKA-189,dd352d27c1b955103b2be76f2d5bca88f3b8e48b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/parser/microsoft/ExcelParserTest.java']
TIKA-190,2699cf47e222d61b5c4f5ab0757c63199e3fd62a,[]
TIKA-193,3864f42f1025c023d8103db4c984c6ff723d4292,[]
TIKA-196,ce6ac916c9fca1ff6362dd99c380256ac180caab,[]
TIKA-197,f6f9d4fe18590bfd8b03e5e87b75af9a18ee059e,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/parser/microsoft/OutlookParserTest.java']
TIKA-207,411d5d8a30873e82c4dddc1497b944ec862533e9,[]
TIKA-208,d016d322caa1e0928012287840bf40bf11293480,[]
TIKA-209,958c208009e3e1828f3b3b6c5a4598ce8f053313,[]
TIKA-209,7a6089c0fd2f52119b5519ac30907875186e8815,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/ProfilingWriterTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/LanguageProfileTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/LanguageIdentifierTest.java']"
TIKA-209,84587e3bd3333f0424e78e58982240e16afa0fe6,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/ProfilingWriterTest.java']
TIKA-209,0c8e965c9369ff6263bf9b27285d49c296b07387,[]
TIKA-209,655afb51b95e4bff1c4b86d40023da112544cad2,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/TestNGramProfile.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/TestLanguageIdentifier.java']"
