project name,valid,type,issue,module,commit,parent,testcase,has_test_annotation,description,traces,bugged_components
commons-math,False,Auto-generated,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest#test04,True,C:\Users\amirelm\Code\rotem\BugMiner\tested_project\commons-math\src\test\java\org\apache\commons\math\special\Gamma_ESTest.java#Gamma_ESTest#None_test04(),[],[]
commons-math,False,Auto-generated,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest#test05,True,C:\Users\amirelm\Code\rotem\BugMiner\tested_project\commons-math\src\test\java\org\apache\commons\math\special\Gamma_ESTest.java#Gamma_ESTest#None_test05(),[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.GammaTest#testTrigamma,False,C:\Users\amirelm\Code\rotem\BugMiner\tested_project\commons-math\src\test\org\apache\commons\math\special\GammaTest.java#GammaTest#None_testTrigamma(),[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#initEvoSuiteFramework,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#clearEvoSuiteFramework,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#initTestCase,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#doneWithTestCase,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#setSystemProperties,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#initializeClasses,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#resetClasses,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#initEvoSuiteFramework,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#clearEvoSuiteFramework,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#initTestCase,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#doneWithTestCase,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#setSystemProperties,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#initializeClasses,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#resetClasses,False,No report,[],[]
commons-math,False,Delta,MATH-267,commons-math,af79797eaaac647cdb7f90c1387a918a0073d752,8897d152596cef98f88b7ff158a2f2fb1c97826c,org.apache.commons.math.special.Gamma_ESTest_scaffolding#initEvoSuiteFramework,False,No report,[],[]
