issue,commit,testcase,description
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testPDFExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testTXTExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testRTFExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testXMLExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testPPTExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testWORDxtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testEXCELExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testOOExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\TestParsers.java#TestParsers#testHTMLExtraction,Regression test bug
TIKA-16,d7dabee5ce14240f3c5ba2f6147c963d03604dd3,C:\Users\user\Code\Python\BugMinerTest\tested_project\tika\src\test\java\org\apache\tika\utils\MimeTypesUtilsTest.java#MimeTypesUtilsTest#test,Regression test bug
