issue,commit,testcase,description
TIKA-56,b12c01d9b56053554cec501aab0530f7f4352daf,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\TestMimeTypes.java#TestMimeTypes#testCaseSensitivity,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypeTest.java#MimeTypeTest#setUp,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypeTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypeTest.java#MimeTypeTest#testConstrctor,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypeTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypeTest.java#MimeTypeTest#testIsValidName,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypeTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypeTest.java#MimeTypeTest#testSetDescription,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypeTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypeTest.java#MimeTypeTest#testSetSuperType,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypeTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#setUp,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypesTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testForName,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypesTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testAddAlias,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypesTest#setUp'"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testSuperType,"Invalid, '0 possible testcases reports for org.apache.tika.mime.MimeTypesTest#setUp'"
